Year,Fips,Data
2009,20095,10.4
2009,20097,12.8
2009,20099,17.2
2009,20101,9.6
2009,20103,9.5
2009,20105,12.9
2009,20107,12.8
2009,20109,10.3
2009,20111,17
2009,20113,9
2009,20115,10.7
2009,20117,11.7
2009,20119,10.8
2009,20121,9.1
2009,20123,9.5
2009,20125,17.4
2009,20127,11.5
2009,20129,10.5
2009,20131,10.3
2009,20133,18.6
2009,20135,9.5
2009,20137,12.7
2009,20139,11.2
2009,20141,13.7
2009,20143,10.1
2009,20145,14.4
2009,20147,12.1
2009,20149,9.1
2009,20151,11.2
2009,20153,13.6
2009,20155,13.8
2009,20157,12.1
2009,20159,12.2
2009,20161,26.3
2009,20163,12.4
2009,20165,12.5
2009,20167,14.1
2009,20169,12.8
2009,20171,8.6
2009,20173,13.5
2009,20175,15.7
2009,20177,16.6
2009,20179,13.3
2009,20181,16
2009,20183,13.2
2009,20185,14.9
2009,20187,12.5
2009,20189,12.3
2009,20191,11.4
2009,20193,11.2
2009,20195,11.8
2009,20197,8.8
2009,20199,14
2009,20201,11.6
2009,20203,12.6
2009,20205,15
2009,20207,18.1
2009,20209,21.4
2009,21000,18.4
2009,21001,24
2009,21003,17.9
2009,21005,11
2009,21007,14.9
2009,21009,19.7
2009,21011,25.1
2009,21013,36
2009,21015,7.9
2009,21017,17.1
2009,21019,20.9
2009,21021,19.8
2009,21023,16.7
2009,21025,32
2009,21027,20.8
2009,21029,10.7
2009,21031,20.1
2009,21033,17.4
2009,21035,20.2
2009,21037,11.1
2009,21039,15.7
2009,21041,17.3
2009,21043,25
2009,21045,25.8
2009,21047,19
2009,21049,14.5
2009,21051,43.3
2009,21053,27.1
2009,21055,19
2009,21057,25.2
2009,21059,15.2
2009,21061,20.8
2009,21063,32.4
2009,21065,28
2009,21067,17.4
2009,21069,21.3
2009,21071,30.3
2009,21073,14
2009,21075,27.8
2009,21077,19.3
2009,21079,17.2
2009,21081,16.7
2009,21083,20.2
2009,21085,21
2009,21087,23.5
2009,21089,16
2009,21091,13.2
2009,21093,14.7
2009,21095,33.4
2009,21097,19.7
2009,21099,25.3
2009,21101,16.7
2009,21103,16.8
2009,21105,18.6
2009,21107,20.7
2009,21109,30.7
2009,21111,15.8
2009,21113,14.1
2009,21115,22.9
2009,21117,13.2
2009,21119,23.7
2009,21121,38.6
2009,21123,16.8
2009,21125,21.5
2009,21127,29.9
2009,21129,36.8
2009,21131,30.8
2009,21133,30.6
2009,21135,28.2
2009,21137,24.2
2009,21139,14.7
2009,21141,18.4
2009,21143,18.4
2009,21145,15.5
2009,21147,35.4
2009,21149,16.4
2009,21151,19.2
2009,21153,31.7
2009,21155,20.6
2009,21157,14.3
2009,21159,45
2009,21161,18.8
2009,21163,12.4
2009,21165,27.7
2009,21167,14.5
2009,21169,23.6
2009,21171,26.5
2009,21173,21.1
2009,21175,30.9
2009,21177,19.2
2009,21179,15.8
2009,21181,19.1
2009,21183,17.4
2009,21185,5.9
2009,21187,17.7
2009,21189,41.4
2009,21191,15.4
2009,21193,27.7
2009,21195,25.8
2009,21197,30.8
2009,21199,19.5
2009,21201,22.2
2009,21203,25
2009,21205,26.6
2009,21207,25.3
2009,21209,13.1
2009,21211,12.4
2009,21213,15.1
2009,21215,9.6
2009,21217,22.4
2009,21219,18.4
2009,21221,15.3
2009,21223,15.7
2009,21225,16.7
2009,21227,17.1
2009,21229,16.6
2009,21231,27.3
2009,21233,17.1
2009,21235,33.3
2009,21237,33
2009,21239,10.1
2009,22000,17.6
2009,22001,20.3
2009,22003,23.1
2009,22005,11.2
2009,22007,17.8
2009,22009,24.9
2009,22011,14
2009,22013,23.2
2009,22015,14.3
2009,22017,16.9
2009,22019,16.4
2009,22021,21.2
2009,22023,12.3
2009,22025,24.6
2009,22027,25.8
2009,22029,30
2009,22031,19.3
2009,22033,17.5
2009,22035,44.3
2009,22037,19.7
2009,22039,21.7
2009,22041,26.1
2009,22043,18.4
2009,22045,19.1
2009,22047,20.3
2009,22049,17.3
2009,22051,13.7
2009,22053,16.4
2009,22055,13.7
2009,22057,15.5
2009,22059,15.2
2009,22061,26.1
2009,22063,12
2009,22065,37.1
2009,22067,25.9
2009,22069,26.9
2009,22071,23.9
2009,22073,20.8
2009,22075,12.2
2009,22077,18.5
2009,22079,15.5
2009,22081,24.4
2009,22083,23.1
2009,22085,19
2009,22087,21.3
2009,22089,12
2009,22091,21
2009,22093,15.1
2009,22095,15.9
2009,22097,25.3
2009,22099,16.2
2009,22101,18
2009,22103,10.3
2009,22105,20.5
2009,22107,35.6
2009,22109,15.7
2009,22111,20.8
2009,22113,18.9
2009,22115,16.2
2009,22117,26.6
2009,22119,19.8
2009,22121,14.4
2009,22123,19.9
2009,22125,21.6
2009,22127,26.8
2009,23000,12.6
2009,23001,15
2009,23003,16.4
2009,23005,9.3
2009,23007,16.2
2009,23009,11.9
2009,23011,12.9
2009,23013,13.6
2009,23015,12.4
2009,23017,13.9
2009,23019,15.3
2009,23021,16.1
2009,23023,9.5
2009,23025,19.3
2009,23027,14.7
2009,23029,20.6
2009,23031,8.4
2009,24000,9.2
2009,24001,16.6
2009,24003,6.8
2009,24005,8.3
2009,24009,5.4
2009,24011,13.2
2009,24013,5.9
2009,24015,10
